37,81
60,75
49,22
83,44
53,14
39,10
75,36
71,18
59,73
5,95
55,19
29,20
88,70
20,92
6,14
44,17
14,24
75,61
18,61
47,63
6,46
87,21
21,82
74,60
98,93
75,13
3,71
21,60
22,18
62,6
73,10
49,13
54,47
37,82
81,61
95,72
18,88
4,35
46,47
77,44
19,70
86,59
28,52
76,45
73,36
15,29
62,28
99,50
18,80
29,1
50,15
54,79
79,87
20,34
44,43
80,9
26,14
30,86
84,77
90,70
25,86
41,68
84,86
14,74
8,37
60,94
2,10
33,60
63,26
56,37
13,53
13,57
71,99
75,11
31,59
20,10
66,32
9,89
33,28
90,96
93,61
9,54
63,95
20,5
3,96
41,94
66,67
34,47
64,48
33,64
83,48
45,50
40,45
28,25
90,25
75,52
73,47
98,80
54,25
1,32
